title,descriptionHtml,productType,vendor,tags,variantPrice,sku,inventoryQuantity,image
Blue T-Shirt,<p>Soft cotton shirt</p>,Shirts,MyBrand,"summer, cotton",19.99,TSHIRT-BLUE-01,30,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Red Hoodie,<p>Warm red hoodie</p>,Hoodies,MyBrand,"winter, fleece",49.00,HOODIE-RED-02,15,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Black Cap,<p>Stylish everyday cap</p>,Accessories,MyBrand,"cap, black",15.00,CAP-BLK-03,50,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
White Sneakers,<p>Comfortable white sneakers</p>,Shoes,MyBrand,"shoes, sneakers",59.99,SNEAKER-WHT-04,20,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Leather Wallet,<p>Premium brown leather wallet</p>,Wallets,MyBrand,"leather, wallet",29.99,WALLET-BRN-05,40,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Green Polo Shirt,<p>Casual green polo</p>,Shirts,MyBrand,"polo, casual",25.99,POLO-GRN-06,35,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Black Sunglasses,<p>UV protected stylish sunglasses</p>,Accessories,MyBrand,"sunglasses, black",19.49,SUNGLASS-BLK-07,55,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Sports Watch,<p>Waterproof fitness watch</p>,Watches,MyBrand,"sports, watch",79.99,WATCH-SPRT-08,25,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Grey Backpack,<p>Durable grey backpack</p>,Bags,MyBrand,"backpack, travel",34.99,BAG-GRY-09,18,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600
Wireless Earbuds,<p>Noise-cancelling earbuds</p>,Electronics,MyBrand,"earbuds, wireless",49.99,EARBUD-WLS-10,60,https://coveritup.com/cdn/shop/products/redhoodie.jpg?v=1658311476&width=600